Name,Sport,Event,NOC,Year,Medal,Division,Strength,First Year,Age,p_max,a_max,alpha,beta,fit_loss
Abdullah Al-garni,Football,Football Men's Football,KSA,1996.0,No medal,15.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.31534615406904415,0.11721122277085558,0.0
Abdullah Al-izani,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",YEM,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.9473114132639662,0.2850260902395735,0.0
Abdullah Al-khalidi,Athletics,Athletics Men's 200 metres,OMA,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.834967250432885,0.4915938480037022,0.0
Abdullah Al-rashidi,Shooting,Shooting Men's Skeet,KUW,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.43358830048591823,0.4059806764799893,0.0
Abdullah Al-shahrani,Football,Football Men's Football,KSA,1996.0,No medal,15.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.20107699423725928,0.4235203321213557,0.0
Abdullah Al-sheib,Athletics,Athletics Men's High Jump,QAT,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,11.44442122414602,0.05,0.10951782595257967,0.0
Abdullah Al-sheib,Athletics,Athletics Men's Long Jump,QAT,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,11.44442122414602,0.05,0.10951782595257967,0.0
Abdullah Ghulam,Athletics,Athletics Men's 400 metres Hurdles,UAE,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.45445276071220353,0.4827026850688571,0.0
Abdullah Saihan,Football,Football Men's Football,KUW,1992.0,No medal,19.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.06537951487618486,0.4945825126124246,0.0
Abdullah Sultan,Swimming,Swimming Men's 100 metres Backstroke,UAE,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.4627424082379122,0.34822687960786025,0.0
Abdullah Sultan,Swimming,Swimming Men's 200 metres Backstroke,UAE,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.45757064679593173,0.45636762429966166,0.0
Abdullah Sultan,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,UAE,1992.0,No medal,4.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.47372400618851024,0.3400808080225739,0.0
Abdullah Sultan,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,UAE,1992.0,No medal,4.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.10359301102824957,0.1728586319839435,0.0
Abdullah Zubromawi,Football,Football Men's Football,KSA,1996.0,No medal,15.0,1.0,1996.0,16.0,2.5,5.917380385009802,0.920457740077299,0.1555515335357788,0.0
Abebe Mekonnen,Athletics,Athletics Men's Marathon,ETH,1996.0,No medal,1.0,1.0,1992.0,20.0,1.4437433736368646,9.301186823677403,0.05,0.05,0.0092426452307569
Abednego Matilu,Athletics,Athletics Men's 4 x 400 metres Relay,KEN,1992.0,No medal,5.0,1.0,1992.0,16.0,2.5,14.318650960604732,0.09074048966749391,0.15278279007793405,0.0
Abel Bios,Volleyball,Volleyball Men's Volleyball,CUB,1992.0,No medal,12.0,1.0,1992.0,16.0,2.5,18.027299639294615,0.27831315964754233,0.05,0.0
Abel Mokibe,Athletics,Athletics Men's Marathon,RSA,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0
Abel Ndenguet,Judo,Judo Men's Middleweight,CGO,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.19806063648506445,0.1801150731072273,0.0
Abel Nzimande,Athletics,Athletics Men's 200 metres,RSA,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0
Abel Rodrigo,Athletics,"Athletics Men's 10,000 metres",ESP,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,12.090320968521787,0.05,0.12242626737885248,0.0
Abel Rodrigo,Athletics,"Athletics Men's 5,000 metres",ESP,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,12.090320968521787,0.05,0.12242626737885248,0.0
Abelardo Antua,Football,Football Men's Football,ESP,1992.0,Gold,17.0,10.0,1992.0,16.0,11.5,4.000006449885999,0.19476293438651188,0.2628942579295696,0.0
Abelardo Sztrum,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",ARG,1996.0,No medal,2.0,1.0,1996.0,16.0,2.5,5.2423390784470705,0.7884589530867279,0.15040210252821234,0.0
Abelardo Sztrum,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",ARG,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.8108703512714582,0.26231395000724617,0.0
Abha Dhillan,Shooting,"Shooting Women's Air Pistol, 10 metres",IND,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.7823741779607836,0.35480207682017206,0.0
Abimael Marrero,Baseball,Baseball Men's Baseball,PUR,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.10393393227895291,0.49478500186599317,0.0
Abiodun Obafemi,Football,Football Men's Football,NGR,1996.0,Gold,16.0,10.0,1996.0,16.0,11.5,4.000006449885999,0.48086150543418926,0.13515901374534975,0.0
Abiola Odumosu,Table Tennis,Table Tennis Women's Doubles,NGR,1992.0,No medal,2.0,1.0,1992.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0
Abiola Odumosu,Table Tennis,Table Tennis Women's Singles,NGR,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0
Aboubacar Diallo,Boxing,Boxing Men's Light-Welterweight,GUI,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.27095965731832566,0.44848151062500574,0.0
Aboubakry Dia,Athletics,Athletics Men's 4 x 400 metres Relay,SEN,1996.0,No medal,4.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.9125062172456029,0.22954971316478306,0.0
Aboukar Adani,Athletics,"Athletics Men's 5,000 metres",SOM,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,6.415250238604257,0.6763561690417164,0.10542943875595404,0.0
Abraham Assefa,Athletics,"Athletics Men's 10,000 metres",ETH,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,16.448153463376084,0.05000000000000001,0.32408744020782415,0.0
Abraham Lomans,Hockey,Hockey Men's Hockey,NED,1996.0,Gold,16.0,10.0,1996.0,16.0,11.5,4.788315746593678,1.0,0.05,0.0
Abraham Manzano,Cycling,Cycling Men's Individual Time Trial,ESP,1996.0,Silver,1.0,6.0,1996.0,16.0,7.5,9.301186823677403,0.05,0.05,0.0
Abraham Manzano,Cycling,"Cycling Men's Road Race, Individual",ESP,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0
Abram Thwala,Boxing,Boxing Men's Light-Flyweight,RSA,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.25516903166368,0.4374788784067222,0.10281116646196527,0.0
Abrar Syed,Boxing,Boxing Men's Light-Middleweight,PAK,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.2585338149010096,0.09688194850134849,0.0
Abu Duah,Athletics,Athletics Men's 4 x 400 metres Relay,GHA,1996.0,No medal,4.0,1.0,1996.0,16.0,2.5,7.975891730229552,0.06061711156139518,0.06810498556223937,0.0
Achour Hasni,Handball,Handball Men's Handball,ALG,1996.0,No medal,16.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.2732471673397175,0.4276110693190402,0.0
Adalberto Garcia,Athletics,"Athletics Men's 5,000 metres",BRA,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,9.301186823677403,0.05000000000000001,0.05000000000000001,0.0
Adalberto Q.,Athletics,Athletics Men's 100 metres,DOM,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.18369334509139934,0.4139767894707369,0.0
Adam Clawson,Canoeing,"Canoeing Men's Canadian Singles, Slalom",USA,1996.0,No medal,1.0,1.0,1992.0,20.0,1.4437433736368646,9.301186823677403,0.05,0.05,0.0092426452307569
Adam Kaczmarek,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",POL,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,9.441723487668522,0.20833333333333334,0.07479909414690819,0.0
Adam Korol,Rowing,Rowing Men's Double Sculls,POL,1996.0,No medal,2.0,1.0,1996.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0
Adam Krzesiski,Fencing,"Fencing Men's Foil, Individual",POL,1996.0,No medal,1.0,1.0,1992.0,20.0,1.4437433736368646,9.301186823677403,0.05,0.05,0.0092426452307569
Adam Krzesiski,Fencing,"Fencing Men's Foil, Team",POL,1996.0,Silver,4.0,6.0,1992.0,20.0,7.5,4.000006449885999,0.0716914772838589,0.2532125010348998,0.0
Adam Krzesiski,Fencing,"Fencing Men's Foil, Team",POL,1992.0,Bronze,5.0,4.0,1992.0,16.0,5.5,5.927708403991963,0.06173535407782859,0.17167834374206564,0.0
Adam Laurent,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",USA,1996.0,No medal,4.0,1.0,1996.0,16.0,2.5,10.396900979227814,0.20833333333333334,0.09959818829381639,0.0
Adam Michlek,Rowing,Rowing Men's Lightweight Double Sculls,CZE,1996.0,No medal,2.0,1.0,1996.0,16.0,2.5,20.011371515336958,0.05,0.4478704745297349,0.0
Adam Parfitt,Rowing,Rowing Men's Coxed Eights,CAN,1996.0,No medal,9.0,1.0,1996.0,16.0,2.5,18.203558283236067,0.20833333333333334,0.25273773617557055,0.0
Adam Ruckwood,Swimming,Swimming Men's 100 metres Backstroke,GBR,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,9.717724145113225,0.12307692307692308,0.07289147152022295,0.0
Adam Ruckwood,Swimming,Swimming Men's 200 metres Backstroke,GBR,1996.0,No medal,1.0,1.0,1992.0,20.0,1.4437433736368646,9.301186823677403,0.05,0.05,0.0092426452307569
Adam Saathoff,Shooting,"Shooting Men's Running Target, 10 metres",USA,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,9.301186823677403,0.05000000000000001,0.05000000000000001,0.0
Adam Sakak,Athletics,Athletics Men's 100 metres,SUD,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.7170495724931766,0.47850133520047045,0.0
Adam Sakak,Athletics,Athletics Men's 200 metres,SUD,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.050168633515777994,0.09022199171129194,0.0
Adam Setliff,Athletics,Athletics Men's Discus Throw,USA,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,13.919806934626841,0.22018247465873156,0.1341198206669907,0.0
Adam Wysocki,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",POL,1996.0,No medal,2.0,1.0,1996.0,16.0,2.5,12.515439693311974,0.05,0.14930487340555315,0.0
Adam Wysocki,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",POL,1996.0,No medal,4.0,1.0,1996.0,16.0,2.5,12.515439693311974,0.05,0.14930487340555315,0.0
Adama N'jie,Athletics,Athletics Women's 800 metres,GAM,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,9.301186823677403,0.05,0.05,0.0
Adan Serrano,Cycling,"Cycling Men's Road Race, Individual",MEX,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.06299886208656427,0.3215417538124524,0.0
Addis Abebe,Athletics,"Athletics Men's 10,000 metres",ETH,1992.0,Bronze,1.0,4.0,1992.0,16.0,5.5,16.448153463376084,0.05000000000000001,0.32408744020782415,0.0
Addis Abebe,Athletics,"Athletics Men's 5,000 metres",ETH,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,16.448153463376084,0.05000000000000001,0.32408744020782415,0.0
Addis Gezahegn,Athletics,Athletics Women's Marathon,ETH,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,16.448153463376084,0.05000000000000001,0.32408744020782415,0.0
Addo Ndala,Athletics,Athletics Women's 400 metres Hurdles,CGO,1992.0,No medal,1.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.362212142640822,0.4266808526614346,0.0
Addy Bucek,Sailing,Sailing Women's Two Person Dinghy,AUS,1996.0,No medal,1.0,1.0,1992.0,20.0,1.4437433736368646,9.301186823677403,0.05,0.05,0.0092426452307569
Adel Adili,Athletics,Athletics Men's Marathon,LBA,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.6540434065563865,0.363307035811655,0.0
Adel Al-kahham,Handball,Handball Men's Handball,KUW,1996.0,No medal,12.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.44090284222448944,0.4169904499811701,0.0
Adel Al-mulla,Football,Football Men's Football,QAT,1992.0,No medal,17.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.6962731869591963,0.4291393519989665,0.0
Adel Al-sellimi,Football,Football Men's Football,TUN,1996.0,No medal,17.0,1.0,1996.0,16.0,2.5,4.000006449885999,0.10931131232362387,0.2610695928560175,0.0
Adel El-sharkawy,Handball,Handball Men's Handball,EGY,1992.0,No medal,14.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.07071270245576726,0.3322461434055297,0.0
Adel Sennoun,Volleyball,Volleyball Men's Volleyball,ALG,1992.0,No medal,10.0,1.0,1992.0,16.0,2.5,4.000006449885999,0.21148722780998847,0.17509960026768323,0.0
Adeline Wuillme,Fencing,"Fencing Women's Foil, Individual",FRA,1996.0,No medal,1.0,1.0,1996.0,16.0,2.5,9.33106562310245,0.06052385446574785,0.2115127706879614,0.0
Adeline Wuillme,Fencing,"Fencing Women's Foil, Team",FRA,1996.0,No medal,3.0,1.0,1996.0,16.0,2.5,9.33106562310245,0.06052385446574785,0.2115127706879614,0.0
