Name,Sport,Event,NOC,Year,Medal,Division
Ahmad Faraj,Swimming,Swimming Men's 4 x 100 metres Medley Relay,UAE,1992,No medal,4
Ahmad Faraj,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,UAE,1992,No medal,4
Ahmad Faraj,Swimming,Swimming Men's 50 metres Freestyle,UAE,1992,No medal,1
Ahmad Hajji,Football,Football Men's Football,KUW,1992,No medal,19
Ahmed (jindiyeh-),Boxing,Boxing Men's Middleweight,ALG,1992,No medal,1
Ahmed Abidin,Hockey,Hockey Men's Hockey,MAS,1992,No medal,16
Ahmed Aboud,Boxing,Boxing Men's Bantamweight,IRQ,1992,No medal,1
Ahmed Al-shiekh,Judo,Judo Men's Half-Middleweight,YEM,1992,No medal,1
Ahmed Bahja,Football,Football Men's Football,MAR,1992,No medal,16
Ahmed Bashir,Athletics,Athletics Men's 100 metres,OMA,1992,No medal,1
Ahmed Belal,Handball,Handball Men's Handball,EGY,1992,No medal,14
Ahmed Debes,Handball,Handball Men's Handball,EGY,1992,No medal,14
Ahmed El-attar,Handball,Handball Men's Handball,EGY,1992,No medal,14
Ahmed El-awady,Handball,Handball Men's Handball,EGY,1992,No medal,14
Ahmed El-noamany,Football,Football Men's Football,EGY,1992,No medal,17
Ahmed El-sayed,Judo,Judo Men's Extra-Lightweight,EGY,1992,No medal,1
Ahmed Houssein,Athletics,Athletics Men's Marathon,DJI,1992,No medal,1
Ahmed Ibrahim,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",EGY,1992,No medal,1
Ahmed Imthiyaz,Swimming,Swimming Men's 100 metres Freestyle,MDV,1992,No medal,1
Ahmed Imthiyaz,Swimming,Swimming Men's 50 metres Freestyle,MDV,1992,No medal,1
Ahmed Naseer,Wrestling,"Wrestling Men's Bantamweight, Freestyle",PAK,1992,No medal,1
Ahmed Saleh,Football,Football Men's Football,QAT,1992,No medal,17
Ahmed Sarir,Boxing,Boxing Men's Super-Heavyweight,MAR,1992,No medal,1
Ahmed Shageef,Athletics,Athletics Men's 100 metres,MDV,1992,No medal,1
Ahmed Shageef,Athletics,Athletics Men's 200 metres,MDV,1992,No medal,1
Ahmet Orel,Wrestling,"Wrestling Men's Flyweight, Freestyle",TUR,1992,No medal,1
Aiga Zagorska,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",LTU,1992,No medal,1
Aiga Zagorska,Cycling,"Cycling Women's Road Race, Individual",LTU,1992,No medal,1
Aikaterini Kotroni,Shooting,"Shooting Women's Air Rifle, 10 metres",GRE,1992,No medal,1
Aiman El-shewy,Judo,Judo Men's Half-Heavyweight,EGY,1992,No medal,1
Ainhoa Royo,Cycling,"Cycling Women's Road Race, Individual",ESP,1992,No medal,1
Ainrs Iksis,Cycling,Cycling Men's Sprint,LAT,1992,No medal,1
Aitor Castro,Handball,Handball Men's Handball,ESP,1992,No medal,16
Ajit Lakra,Hockey,Hockey Men's Hockey,IND,1992,No medal,15
Akakios Kakiasvili,Weightlifting,Weightlifting Men's Middle-Heavyweight,EUN,1992,Gold,1
Akel Khafaga,Football,Football Men's Football,EGY,1992,No medal,17
Aki Takayama,Synchronized Swimming,Synchronized Swimming Women's Duet,JPN,1992,Bronze,2
Aki Takayama,Synchronized Swimming,Synchronized Swimming Women's Solo,JPN,1992,No medal,1
Akihiko Matsuda,Volleyball,Volleyball Men's Volleyball,JPN,1992,No medal,12
Akihiro Mera,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",JPN,1992,No medal,1
Akihiro Mera,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",JPN,1992,No medal,1
Akihiro Togo,Baseball,Baseball Men's Baseball,JPN,1992,Bronze,1
Akira Hayashi,Swimming,Swimming Men's 100 metres Breaststroke,JPN,1992,No medal,1
Akira Hayashi,Swimming,Swimming Men's 200 metres Breaststroke,JPN,1992,No medal,1
Akira Hayashi,Swimming,Swimming Men's 4 x 100 metres Medley Relay,JPN,1992,No medal,4
Akira Ota,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",JPN,1992,No medal,1
Aktawat Sakoolchan,Athletics,Athletics Men's 4 x 400 metres Relay,THA,1992,No medal,4
Aktawat Sakoolchan,Athletics,Athletics Men's 400 metres,THA,1992,No medal,1
Alain Blondel,Athletics,Athletics Men's Decathlon,FRA,1992,No medal,1
Alain Ct,Fencing,"Fencing Men's epee, Team",CAN,1992,No medal,5
Alain Lemercier,Athletics,Athletics Men's 50 kilometres Walk,FRA,1992,No medal,1
Alain Lewuillon,Rowing,Rowing Men's Quadruple Sculls,BEL,1992,No medal,4
Alain Pointet,Sailing,Sailing Mixed Three Person Keelboat,FRA,1992,No medal,3
Alain Portes,Handball,Handball Men's Handball,FRA,1992,Bronze,16
Alain Razahasoa,Athletics,Athletics Men's Marathon,MAD,1992,No medal,1
Alan Adler,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,BRA,1992,No medal,1
Alan Cooke,Table Tennis,Table Tennis Men's Doubles,GBR,1992,No medal,2
Alan Gregov,Basketball,Basketball Men's Basketball,CRO,1992,Silver,12
Alan Nolet,Gymnastics,Gymnastics Men's Floor Exercise,CAN,1992,No medal,1
Alan Nolet,Gymnastics,Gymnastics Men's Horizontal Bar,CAN,1992,No medal,1
Alan Nolet,Gymnastics,Gymnastics Men's Horse Vault,CAN,1992,No medal,1
Alan Nolet,Gymnastics,Gymnastics Men's Individual All-Around,CAN,1992,No medal,1
Alan Nolet,Gymnastics,Gymnastics Men's Parallel Bars,CAN,1992,No medal,1
Alan Nolet,Gymnastics,Gymnastics Men's Pommelled Horse,CAN,1992,No medal,1
Alan Nolet,Gymnastics,Gymnastics Men's Rings,CAN,1992,No medal,1
Alan Vaughan,Boxing,Boxing Men's Lightweight,GBR,1992,No medal,1
Alaoui Taher,Judo,Judo Men's Lightweight,DJI,1992,No medal,1
Alberny Gutirrez,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",COL,1992,No medal,1
Alberny Gutirrez,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",COL,1992,No medal,4
Albert Batzill,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,GER,1992,No medal,1
Albert Chvere,Baseball,Baseball Men's Baseball,PUR,1992,No medal,1
Albert Grimbergen,Hockey,Hockey Men's Hockey,NED,1992,No medal,16
Albert Llopis,Football,Football Men's Football,ESP,1992,Gold,17
Albert Miller,Athletics,Athletics Men's 110 metres Hurdles,FIJ,1992,No medal,1
Albert Miller,Athletics,Athletics Men's Decathlon,FIJ,1992,No medal,1
Albert Vlaanderen,Athletics,Athletics Men's Marathon,NED,1992,No medal,1
Alberth Papilaya,Boxing,Boxing Men's Middleweight,INA,1992,No medal,1
Alberto Benito,Athletics,Athletics Men's Pole Vault,ESP,1992,No medal,1
Alberto Cabrera,Fencing,"Fencing Men's Sabre, Team",ESP,1992,No medal,5
Alberto D'auria,Baseball,Baseball Men's Baseball,ITA,1992,No medal,1
Alberto Fernndez,Shooting,"Shooting Men's Free Pistol, 50 metres",ESP,1992,No medal,1
Alberto Francini,Judo,Judo Men's Extra-Lightweight,SMR,1992,No medal,1
Alberto Hernndez,Football,Football Men's Football,MEX,1992,No medal,16
Alberto Jimnez,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",ESP,1992,No medal,4
Alberto Jr.,Equestrian,"Equestrian Mixed Jumping, Individual",MEX,1992,No medal,1
Alberto Jr.,Equestrian,"Equestrian Mixed Jumping, Team",MEX,1992,No medal,4
Alberto Mancini,Tennis,Tennis Men's Singles,ARG,1992,No medal,1
Alberto Miranda,Modern Pentathlon,Modern Pentathlon Men's Individual,MEX,1992,No medal,1
Alberto Miranda,Modern Pentathlon,Modern Pentathlon Men's Team,MEX,1992,No medal,3
Alberto Mrquez,Handball,Handball Men's Handball,ESP,1992,No medal,16
Alberto Palma,Diving,Diving Men's Platform,MEX,1992,No medal,1
Alberto Rodrigues,Equestrian,"Equestrian Mixed Three-Day Event, Individual",POR,1992,No medal,4
Alberto Rodrigues,Equestrian,"Equestrian Mixed Three-Day Event, Team",POR,1992,No medal,4
Alberto Ros,Basketball,Basketball Men's Basketball,ESP,1992,No medal,12
Alberto Spaggiari,Sailing,Sailing Mixed Two Person Keelboat,ARG,1992,No medal,1
Alberto Viaggio,Fencing,"Fencing Men's Foil, Individual",ARG,1992,No medal,1
Albin Iman,Canoeing,"Canoeing Men's Kayak Singles, Slalom",SLO,1992,No medal,1
Albin Killat,Diving,Diving Men's Springboard,GER,1992,No medal,1
Alcide Legrand,Wrestling,"Wrestling Men's Middleweight, Freestyle",FRA,1992,No medal,1
Aldo Bertoldi,Athletics,Athletics Men's 50 kilometres Walk,SUI,1992,No medal,1
Aldo Canti,Athletics,Athletics Men's 200 metres,SMR,1992,No medal,1
Aldo Canti,Athletics,Athletics Men's 4 x 100 metres Relay,SMR,1992,No medal,4
Aldo Echevarria,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",CUB,1992,No medal,1
Aldo Riadigos,Hockey,Hockey Men's Hockey,ARG,1992,No medal,16
Aldo Suurvli,Swimming,Swimming Men's 100 metres Butterfly,EST,1992,No medal,1
Aldo Suurvli,Swimming,Swimming Men's 4 x 100 metres Medley Relay,EST,1992,No medal,4
Ale Depta,Fencing,"Fencing Men's epee, Individual",TCH,1992,No medal,1
Ale Depta,Fencing,"Fencing Men's epee, Team",TCH,1992,No medal,5
Alec Lanham-love,Sailing,Sailing Men's Two Person Dinghy,RSA,1992,No medal,1
Aleix Alfos,Handball,Handball Men's Handball,ESP,1992,No medal,16
Alejandra Gabaglio,Table Tennis,Table Tennis Women's Doubles,ARG,1992,No medal,2
Alejandrina Hernndez,Volleyball,Volleyball Women's Volleyball,CUB,1992,Gold,10
Alejandro Barranco,Modern Pentathlon,Modern Pentathlon Men's Individual,MEX,1992,No medal,1
Alejandro Barranco,Modern Pentathlon,Modern Pentathlon Men's Team,MEX,1992,No medal,3
Alejandro Cabral,Athletics,"Athletics Men's 10,000 metres",ESP,1992,No medal,1
Alejandro Daz,Wrestling,"Wrestling Men's Bantamweight, Freestyle",CUB,1992,Gold,1
Alejandro Mack,Swimming,Swimming Men's 100 metres Backstroke,PER,1992,No medal,1
Alejandro Mack,Swimming,Swimming Men's 200 metres Backstroke,PER,1992,No medal,1
Alejandro Mack,Swimming,Swimming Men's 200 metres Individual Medley,PER,1992,No medal,1
Alejandro Prez,Hockey,Hockey Men's Hockey,ARG,1992,No medal,16
Alejandro Robles J.,Athletics,Athletics Men's 4 x 100 metres Relay,MEX,1992,No medal,4
Alejandro Tamayo,Swimming,"Swimming Men's 1,500 metres Freestyle",COL,1992,No medal,1
Alejandro Tamayo,Swimming,Swimming Men's 200 metres Backstroke,COL,1992,No medal,1
Alejandro Tamayo,Swimming,Swimming Men's 400 metres Freestyle,COL,1992,No medal,1
Alejandro Tamayo,Swimming,Swimming Men's 400 metres Individual Medley,COL,1992,No medal,1
Aleksandar Fabijani,Rowing,Rowing Men's Coxed Fours,CRO,1992,No medal,5
Aleksandar Milenkovi,Cycling,Cycling Men's 100 kilometres Team Time Trial,IOA,1992,No medal,4
Aleksandar Milenkovi,Cycling,"Cycling Men's Road Race, Individual",IOA,1992,No medal,1
Aleksandar Uri,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",BIH,1992,No medal,1
Aleksander Kak,Football,Football Men's Football,POL,1992,Silver,16
Aleksandr Anikeyev,Rowing,Rowing Men's Coxed Eights,EUN,1992,No medal,9
Aleksandr Asanov,Shooting,Shooting Mixed Trap,EUN,1992,No medal,1
Aleksandr Cherkasov,Shooting,Shooting Mixed Skeet,EUN,1992,No medal,1
Aleksandr Domashev,Hockey,Hockey Men's Hockey,EUN,1992,No medal,15
Aleksandr Gramovich,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",EUN,1992,No medal,2
Aleksandr Ignatenko,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",EUN,1992,No medal,1
Aleksandr Karelin,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",EUN,1992,Gold,1
Aleksandr Kirichenko,Cycling,"Cycling Men's 1,000 metres Time Trial",EUN,1992,No medal,1
Aleksandr Kolotov,Water Polo,Water Polo Men's Water Polo,EUN,1992,Bronze,13
Aleksandr Kostoglod,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",EUN,1992,No medal,1
Aleksandr Kovalenko,Athletics,Athletics Men's Triple Jump,EUN,1992,No medal,1
Aleksandr Krasnoyartsev,Hockey,Hockey Men's Hockey,EUN,1992,No medal,15
Aleksandr Kurlovich,Weightlifting,Weightlifting Men's Super-Heavyweight,EUN,1992,Gold,1
Aleksandr Lebzyak,Boxing,Boxing Men's Middleweight,EUN,1992,No medal,1
Aleksandr Maseykov,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",EUN,1992,Gold,2
Aleksandr Ogorodnikov,Water Polo,Water Polo Men's Water Polo,EUN,1992,Bronze,13
Aleksandr Popov,Swimming,Swimming Men's 100 metres Freestyle,EUN,1992,Gold,1
Aleksandr Popov,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,EUN,1992,Silver,6
Aleksandr Popov,Swimming,Swimming Men's 4 x 100 metres Medley Relay,EUN,1992,Silver,7
Aleksandr Popov,Swimming,Swimming Men's 50 metres Freestyle,EUN,1992,Gold,1
Aleksandr Potashov,Athletics,Athletics Men's 50 kilometres Walk,EUN,1992,No medal,1
Aleksandr Savitsky,Swimming,Swimming Men's 200 metres Breaststroke,EUN,1992,No medal,1
Aleksandr Savitsky,Swimming,Swimming Men's 200 metres Individual Medley,EUN,1992,No medal,1
Aleksandr Shirshov,Fencing,"Fencing Men's Sabre, Individual",EUN,1992,No medal,1
Aleksandr Shirshov,Fencing,"Fencing Men's Sabre, Team",EUN,1992,Gold,5
Aleksandr Zlydenny,Shooting,"Shooting Men's Air Rifle, 10 metres",EUN,1992,No medal,1
Aleksandra Ivoev,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",IOA,1992,No medal,2
Aleksandrs Erebkovs,Weightlifting,Weightlifting Men's Middleweight,LAT,1992,No medal,1
Aleksandrs Obiajevs,Athletics,Athletics Men's Pole Vault,LAT,1992,No medal,1
Aleksey Bazarov,Athletics,Athletics Men's 400 metres Hurdles,ISR,1992,No medal,1
Aleksey Bochkov,Cycling,"Cycling Men's Road Race, Individual",EUN,1992,No medal,1
Aleksey Chudinov,Boxing,Boxing Men's Heavyweight,EUN,1992,No medal,1
Aleksey Kudryavtsev,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,EUN,1992,Gold,6
Aleksey Kudryavtsev,Swimming,Swimming Men's 400 metres Freestyle,EUN,1992,No medal,1
Aleksey Vdovin,Water Polo,Water Polo Men's Water Polo,EUN,1992,Bronze,13
Aleksey Voropayev,Gymnastics,Gymnastics Men's Floor Exercise,EUN,1992,No medal,1
