NOC,Sport,Event,Gold,Silver,Bronze,NoMedal
CZE,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.2524250838411886
DJI,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.3003858497710144
ECU,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.4291226425300205
EGY,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.176697558688832
ERI,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.081821787890808
ESP,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.7186542136958638
EST,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
ETH,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,2.6165662976452344
EUN,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0
FIJ,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0
FIN,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.9891457213948288
FRA,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.2188525476903105
FSM,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.176697558688832
GBR,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.2823194259132378
GER,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.353395117377664
GRE,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.5528109336122029
GUA,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.6285384587645595
HAI,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0
HON,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0
HUN,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.2524250838411886
INA,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
IOA,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.176697558688832
IRL,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.3606072626302694
ISR,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.5048501676823772
ISV,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
ITA,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,2.003533951173776
JAM,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
JPN,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,2.255959035014965
KAZ,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.3606072626302694
KEN,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,2.058706862356208
KGZ,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.3761133749233709
KOR,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.1056218672244058
LAT,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
LBA,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.3761133749233709
LCA,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.2524250838411886
LES,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.4579351628141792
LIE,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.3606072626302694
LTU,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.6234899570877357
MAD,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
MAR,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,2.0262522087194834
MAW,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
MDA,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.4842955537124517
MDV,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0
MEX,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.6501388337961125
MGL,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.2524250838411886
MNE,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.3606072626302694
MRI,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
MTN,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0
MYA,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0
NAM,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
NCA,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0
NED,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.353395117377664
NEP,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.4842955537124517
NIG,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0
NZL,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.6285384587645595
PER,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.4842955537124517
PHI,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.3761133749233709
POL,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.5264505427139303
POR,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.397713749954924
PRK,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.935018571274025
PUR,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
QAT,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.1503371677905594
RSA,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.337492337095669
RUS,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.826836392484945
RWA,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.3003858497710144
SCG,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
SLO,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.176697558688832
SMR,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0
SOM,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
SRI,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.4291226425300205
SUD,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
SUI,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.176697558688832
SVK,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.4291226425300205
SWE,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
SWZ,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.4240741408531966
SYR,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0
TAN,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.7666149796256898
TCH,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0
TJK,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.176697558688832
TLS,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.2524250838411886
TPE,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.3761133749233709
TTO,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
TUN,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
TUR,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.3606072626302694
UGA,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.176697558688832
UKR,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.4579351628141792
URU,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.3003858497710144
USA,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,2.077638743644297
VEN,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.6764992246943853
VIE,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0
VIN,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
YEM,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.1236882910821823
ZIM,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.7367206375536404
AFG,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.2524250838411886
AND,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3606072626302694
ANT,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3606072626302694
ARM,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.613032346471458
ARU,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.176697558688832
AUS,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.0
AUT,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.4291226425300205
AZE,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.1236882910821823
BAH,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.9083696945656484
BAN,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.5373048213191014
BAR,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.5373048213191014
BEL,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.2524250838411886
BEN,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.0
BER,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.0
BIZ,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.176697558688832
BLR,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.2524250838411886
BRA,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.7367206375536404
BRN,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.4291226425300205
BUL,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,1.2210161912660922
BUR,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.176697558688832
CAM,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3761133749233709
CAN,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.353395117377664
CAY,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.1236882910821823
CHA,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3606072626302694
CHN,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.4770834084598463
CIV,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.4291226425300205
CMR,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3761133749233709
COD,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.5373048213191014
COL,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.8604089286358227
COM,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.5373048213191014
CPV,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.1236882910821823
CRC,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.0
CUB,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3606072626302694
DJI,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3606072626302694
DMA,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.1236882910821823
ESP,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.0
EUN,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.0
FIJ,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.0
FIN,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.5528109336122029
FRA,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.6058202012188525
FSM,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.78972990516029
GAB,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.5373048213191014
GAM,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3606072626302694
GBR,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,1.935018571274025
GEO,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.176697558688832
GEQ,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3003858497710144
GER,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.4998016660055533
GHA,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.6058202012188525
GRE,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.4240741408531966
GRN,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3606072626302694
GUI,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.176697558688832
GUM,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3606072626302694
HAI,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3606072626302694
HKG,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3606072626302694
HON,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.1236882910821823
INA,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.176697558688832
IRL,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.176697558688832
IRQ,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.613032346471458
ISV,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.4291226425300205
ITA,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3606072626302694
IVB,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3606072626302694
JAM,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,1.7788756265551189
JOR,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.2524250838411886
JPN,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3606072626302694
KAZ,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.3003858497710144
