NOC,Sport,Event,Gold,Silver,Bronze,NoMedal
ALG,Athletics,"Athletics Women's 5,000 metres",0.0,0.0,0.0,0.0525412280687851
ALG,Athletics,Athletics Women's 800 metres,0.0,0.0,0.0,0.0257452017537047
ALG,Athletics,Athletics Women's Heptathlon,0.0,0.0,0.0,0.0367788596481495
ALG,Athletics,Athletics Women's Marathon,0.0,0.0,0.0,0.7309473626083853
ALG,Athletics,Athletics Women's Triple Jump,0.0,0.0,0.0,0.0367788596481495
ALG,Athletics,Men's 110m Hurdles,0.0,0.0,0.0,0.3126151488593153
ALG,Athletics,Men's 3000m Steeplechase,0.0,0.0,0.0,0.3126151488593153
ALG,Athletics,Men's 400m Hurdles,0.0,0.0,0.0,0.0
ALG,Athletics,Men's 800m,0.0,0.0,0.0,0.937845446577946
ALG,Athletics,Men's Discus Throw,0.0,0.0,0.0,0.3126151488593153
ALG,Athletics,Men's Triple Jump,0.0,0.0,0.0,0.3126151488593153
ALG,Athletics,Women's 400m Hurdles,0.0,0.0,0.0,0.0
ALG,Athletics,Women's Hammer Throw,0.0,0.0,0.0,0.3126151488593153
ALG,Boxing,Boxing Men's Bantamweight,0.0,0.0,0.0,0.9006984200689847
ALG,Boxing,Boxing Men's Featherweight,0.0,0.0,0.0,0.7385608857282498
ALG,Boxing,Boxing Men's Flyweight,0.0,0.0,0.0,0.8256395228278631
ALG,Boxing,Boxing Men's Heavyweight,0.0,0.0,0.0,0.2190647529480164
ALG,Boxing,Boxing Men's Light-Flyweight,0.0,0.0,0.0,0.1440058557068947
ALG,Boxing,Boxing Men's Light-Heavyweight,0.0,0.0,0.0,0.1276001253099067
ALG,Boxing,Boxing Men's Light-Middleweight,0.0,0.0,0.0,0.0
ALG,Boxing,Boxing Men's Light-Welterweight,0.0,0.0,0.0,0.6816336671209684
ALG,Boxing,Boxing Men's Lightweight,0.0,0.0,0.0,0.8113783323520499
ALG,Boxing,Boxing Men's Middleweight,0.0,0.0,0.0,0.8256395228278631
ALG,Boxing,Boxing Men's Super-Heavyweight,0.0,0.0,0.0,0.0750588972411216
ALG,Boxing,Boxing Men's Welterweight,0.0,0.0,0.0,0.7631154614260088
ALG,Boxing,Men's +92kg,0.0,0.0,0.0,0.0
ALG,Boxing,Men's 63.5kg,0.0,0.0,0.0,0.0
ALG,Boxing,Men's Fly (48-52kg),0.0,0.0,0.0,0.0
ALG,Boxing,Men's Heavy (81-91kg),0.0,0.0,0.0,0.0
ALG,Boxing,Men's Light Heavy (75-81kg),0.0,0.0,0.0,0.0
ALG,Boxing,Men's Middle (69-75kg),0.0,0.0,0.0,0.0
ALG,Boxing,Men's Super Heavy (+91kg),0.0,0.0,0.0,0.0
ALG,Boxing,Women's 50kg,0.0,0.0,0.0,0.0
ALG,Boxing,Women's 60kg,0.0,0.0,0.0,0.0
ALG,Boxing,Women's 66kg,0.0,0.0,0.0,0.0
ALG,Boxing,Women's Fly (48-51kg),0.0,0.0,0.0,0.0
ALG,Boxing,Women's Light (57-60kg),0.0,0.0,0.0,0.0
ALG,Boxing,Women's Middle (69-75kg),0.0,0.0,0.0,0.0
ALG,Fencing,"Fencing Men's Foil, Individual",0.0,0.0,0.0,0.6558884653672638
ALG,Fencing,"Fencing Men's Sabre, Individual",0.0,0.0,0.0,0.1308276578912749
ALG,Fencing,"Fencing Men's Sabre, Team",0.0,0.0,0.0,0.052541228068785105
ALG,Fencing,"Fencing Men's epee, Individual",0.0,0.0,0.0,0.0525412280687851
ALG,Fencing,"Fencing Women's Foil, Individual",0.0,0.0,0.0,0.1375829586429759
ALG,Fencing,"Fencing Women's Sabre, Individual",0.0,0.0,0.0,0.1072269960587451
ALG,Fencing,"Fencing Women's epee, Individual",0.0,0.0,0.0,0.1118377568892712
ALG,Fencing,Men's Foil Individual,0.0,0.0,0.0,0.0
ALG,Fencing,Men's Sabre Individual,0.0,0.0,0.0,0.0
ALG,Fencing,Women's Foil Individual,0.0,0.0,0.0,0.0
ALG,Fencing,Women's Sabre Individual,0.0,0.0,0.0,0.937845446577946
ALG,Fencing,Women's Sabre Team,0.0,0.0,0.0,0.31261514885931535
ALG,Handball,Handball Men's Handball,0.0,0.0,0.0,0.025745201753704712
ALG,Judo,Judo Men's Extra-Lightweight,0.0,0.0,0.0,0.0625240614018542
ALG,Judo,Judo Men's Half-Heavyweight,0.0,0.0,0.0,0.7151849941877497
ALG,Judo,Judo Men's Half-Lightweight,0.0,0.0,0.0,0.7151849941877497
ALG,Judo,Judo Men's Half-Middleweight,0.0,0.0,0.0,0.0782864298224898
ALG,Judo,Judo Men's Heavyweight,0.0,0.0,0.0,0.6658712987003329
ALG,Judo,Judo Men's Lightweight,0.0,0.0,0.0,0.1375829586429759
ALG,Judo,Judo Men's Middleweight,0.0,0.0,0.0,0.7151849941877497
ALG,Judo,Judo Women's Extra-Lightweight,0.0,0.0,0.0,0.1276001253099067
ALG,Judo,Judo Women's Half-Lightweight,0.0,0.0,0.0,0.1375829586429759
ALG,Judo,Judo Women's Half-Middleweight,0.0,0.0,0.0,0.0750588972411216
ALG,Judo,Judo Women's Heavyweight,0.0,0.0,0.0,0.1072269960587451
ALG,Judo,Judo Women's Lightweight,0.0,0.0,0.0,0.0525412280687851
ALG,Judo,Judo Women's Middleweight,0.0,0.0,0.0,0.0525412280687851
ALG,Judo,Men +100 kg,0.0,0.0,0.0,0.3126151488593153
ALG,Judo,Men -73 kg,0.0,0.0,0.0,0.3126151488593153
ALG,Judo,Women +78 kg,0.0,0.0,0.0,0.0
ALG,Judo,Women -63 kg,0.0,0.0,0.0,0.3126151488593153
ALG,Rowing,Lightweight Men's Double Sculls Team,0.0,0.0,0.0,0.0
ALG,Rowing,Men's Single Sculls,0.0,0.0,0.0,0.3126151488593153
ALG,Rowing,Rowing Men's Lightweight Double Sculls,0.0,0.0,0.0,0.0750588972411216
ALG,Rowing,Rowing Men's Single Sculls,0.0,0.0,0.0,0.767726222256535
ALG,Rowing,Rowing Women's Single Sculls,0.0,0.0,0.0,0.1329721978124498
ALG,Rowing,Women's Single Sculls,0.0,0.0,0.0,0.3126151488593153
ALG,Swimming,Men's 100m Freestyle,0.0,0.0,0.0,0.0
ALG,Swimming,Men's 200m Individual Medley,0.0,0.0,0.0,0.3126151488593153
ALG,Swimming,Men's 50m Freestyle,0.0,0.0,0.0,0.0
ALG,Swimming,Swimming Men's 100 metres Backstroke,0.0,0.0,0.0,0.0367788596481495
ALG,Swimming,Swimming Men's 100 metres Breaststroke,0.0,0.0,0.0,0.0525412280687851
ALG,Swimming,Swimming Men's 100 metres Butterfly,0.0,0.0,0.0,0.0893200877169346
ALG,Swimming,Swimming Men's 100 metres Freestyle,0.0,0.0,0.0,0.704151336293305
ALG,Swimming,Swimming Men's 200 metres Breaststroke,0.0,0.0,0.0,0.0525412280687851
ALG,Swimming,Swimming Men's 200 metres Butterfly,0.0,0.0,0.0,0.0525412280687851
ALG,Swimming,Swimming Men's 200 metres Freestyle,0.0,0.0,0.0,0.0782864298224898
ALG,Swimming,Swimming Men's 200 metres Individual Medley,0.0,0.0,0.0,0.1276001253099067
ALG,Swimming,Swimming Men's 400 metres Freestyle,0.0,0.0,0.0,0.0525412280687851
ALG,Swimming,Swimming Men's 50 metres Freestyle,0.0,0.0,0.0,0.6290924390521833
ALG,Swimming,Swimming Women's 400 metres Individual Medley,0.0,0.0,0.0,0.0525412280687851
ALG,Swimming,Women's 100m Freestyle,0.0,0.0,0.0,0.3126151488593153
ALG,Swimming,Women's 50m Freestyle,0.0,0.0,0.0,0.0
ALG,Volleyball,Volleyball Men's Volleyball,0.0,0.0,0.0,0.0
ALG,Volleyball,Volleyball Women's Volleyball,0.0,0.0,0.0,0.18228589329986675
ALG,Weightlifting,Men's +102kg,0.0,0.0,0.0,0.0
ALG,Weightlifting,Men's +109kg,0.0,0.0,0.0,0.0
ALG,Weightlifting,Weightlifting Men's Bantamweight,0.0,0.0,0.0,0.0525412280687851
ALG,Weightlifting,Weightlifting Men's Featherweight,0.0,0.0,0.0,0.0257452017537047
ALG,Weightlifting,Weightlifting Men's Heavyweight,0.0,0.0,0.0,0.1072269960587451
ALG,Weightlifting,Weightlifting Men's Lightweight,0.0,0.0,0.0,0.0
ALG,Weightlifting,Weightlifting Men's Super-Heavyweight,0.0,0.0,0.0,0.6033472372984787
ALG,Weightlifting,Weightlifting Women's Lightweight,0.0,0.0,0.0,0.0
ALG,Weightlifting,Weightlifting Women's Middleweight,0.0,0.0,0.0,0.0525412280687851
ALG,Weightlifting,Weightlifting Women's Super-Heavyweight,0.0,0.0,0.0,0.6033472372984787
ALG,Wrestling,Men's Freestyle 125kg,0.0,0.0,0.0,0.0
ALG,Wrestling,Men's Freestyle 57kg,0.0,0.0,0.0,0.0
ALG,Wrestling,Men's Freestyle 86kg,0.0,0.0,0.0,0.0
ALG,Wrestling,Men's Freestyle 97kg,0.0,0.0,0.0,0.0
ALG,Wrestling,Men's Greco-Roman 60kg,0.0,0.0,0.0,0.0
ALG,Wrestling,Men's Greco-Roman 67kg,0.0,0.0,0.0,0.3126151488593153
ALG,Wrestling,Men's Greco-Roman 77kg,0.0,0.0,0.0,0.3126151488593153
ALG,Wrestling,Men's Greco-Roman 87kg,0.0,0.0,0.0,0.0
ALG,Wrestling,Men's Greco-Roman 97kg,0.0,0.0,0.0,0.3126151488593153
ALG,Wrestling,Women's Freestyle 50kg,0.0,0.0,0.0,0.3126151488593153
ALG,Wrestling,Women's Freestyle 57kg,0.0,0.0,0.0,0.3126151488593153
ALG,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",0.0,0.0,0.0,0.0525412280687851
ALG,Wrestling,"Wrestling Men's Flyweight, Freestyle",0.0,0.0,0.0,0.5827446485280544
ALG,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",0.0,0.0,0.0,0.6784061345396003
ALG,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",0.0,0.0,0.0,0.1072269960587451
ALG,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",0.0,0.0,0.0,0.6033472372984787
ALG,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",0.0,0.0,0.0,0.6870183692755254
ALG,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",0.0,0.0,0.0,0.1118377568892712
ALG,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",0.0,0.0,0.0,0.6784061345396003
AND,Athletics,Athletics Men's 800 metres,0.0,0.0,0.0,0.6033472372984787
AND,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0257452017537047
AND,Athletics,"Athletics Women's 1,500 metres",0.0,0.0,0.0,0.0367788596481495
AND,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.1822858932998667
AND,Athletics,Athletics Women's High Jump,0.0,0.0,0.0,0.0
AND,Athletics,Men's 3000m Steeplechase,0.0,0.0,0.0,0.3126151488593153
AND,Athletics,Men's 800m,0.0,0.0,0.0,0.0
AND,Cycling,"Cycling Men's Road Race, Individual",0.0,0.0,0.0,0.0
AND,Judo,Judo Men's Extra-Lightweight,0.0,0.0,0.0,0.0
AND,Judo,Judo Men's Half-Lightweight,0.0,0.0,0.0,0.1008040989948263
AND,Judo,Judo Men's Middleweight,0.0,0.0,0.0,0.0525412280687851
AND,Judo,Judo Women's Half-Middleweight,0.0,0.0,0.0,0.6033472372984787
AND,Sailing,Sailing Men's Two Person Dinghy,0.0,0.0,0.0,0.0
AND,Sailing,Sailing Women's Windsurfer,0.0,0.0,0.0,0.0257452017537047
AND,Shooting,Shooting Men's Trap,0.0,0.0,0.0,0.0893200877169346
AND,Shooting,Shooting Mixed Trap,0.0,0.0,0.0,0.0
AND,Shooting,"Shooting Women's Air Rifle, 10 metres",0.0,0.0,0.0,0.6033472372984787
AND,Swimming,Swimming Men's 200 metres Butterfly,0.0,0.0,0.0,0.1329721978124498
AND,Swimming,Swimming Men's 200 metres Freestyle,0.0,0.0,0.0,0.0367788596481495
AND,Swimming,Swimming Men's 200 metres Individual Medley,0.0,0.0,0.0,0.0525412280687851
AND,Swimming,Swimming Men's 400 metres Freestyle,0.0,0.0,0.0,0.6033472372984787
AND,Swimming,Swimming Men's 400 metres Individual Medley,0.0,0.0,0.0,0.0750588972411216
AND,Swimming,Swimming Women's 100 metres Backstroke,0.0,0.0,0.0,0.1072269960587451
AND,Swimming,Swimming Women's 100 metres Freestyle,0.0,0.0,0.0,0.0525412280687851
AND,Swimming,Swimming Women's 200 metres Individual Medley,0.0,0.0,0.0,0.0257452017537047
ANG,Athletics,"Athletics Men's 1,500 metres",0.0,0.0,0.0,0.0
ANG,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.6033472372984787
ANG,Athletics,Athletics Men's 400 metres,0.0,0.0,0.0,0.0
ANG,Athletics,Athletics Men's 800 metres,0.0,0.0,0.0,0.1072269960587451
ANG,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,0.0367788596481495
ANG,Athletics,Athletics Men's Triple Jump,0.0,0.0,0.0,0.0
ANG,Athletics,"Athletics Women's 1,500 metres",0.0,0.0,0.0,0.0
ANG,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.6033472372984787
ANG,Athletics,Athletics Women's 200 metres,0.0,0.0,0.0,0.0257452017537047
ANG,Athletics,"Athletics Women's 3,000 metres",0.0,0.0,0.0,0.0
ANG,Athletics,Athletics Women's 400 metres,0.0,0.0,0.0,0.0257452017537047
ANG,Athletics,Athletics Women's 800 metres,0.0,0.0,0.0,0.1440058557068947
ANG,Athletics,Men's 100m,0.0,0.0,0.0,0.3126151488593153
ANG,Basketball,Basketball Men's Basketball,0.0,0.0,0.0,0.11725450730683877
ANG,Basketball,Basketball Women's Basketball,0.0,0.0,0.0,0.10722699605874518
ANG,Boxing,Boxing Men's Welterweight,0.0,0.0,0.0,0.0
ANG,Handball,Handball Women's Handball,0.0,0.0,0.0,0.7649819077281088
ANG,Handball,Women,0.0,0.0,0.0,0.0
ANG,Handball,Women Team,0.0,0.0,0.0,0.0
ANG,Judo,Judo Men's Extra-Lightweight,0.0,0.0,0.0,0.0
ANG,Judo,Judo Men's Half-Heavyweight,0.0,0.0,0.0,0.0
ANG,Judo,Judo Men's Half-Middleweight,0.0,0.0,0.0,0.0
ANG,Judo,Judo Men's Lightweight,0.0,0.0,0.0,0.0
ANG,Judo,Judo Women's Middleweight,0.0,0.0,0.0,0.0525412280687851
ANG,Judo,Men -66 kg,0.0,0.0,0.0,0.3126151488593153
ANG,Judo,Women -57 kg,0.0,0.0,0.0,0.0
ANG,Sailing,Men's Dinghy,0.0,0.0,0.0,0.0
ANG,Sailing,Men's Two Person Dinghy - 470 Team,0.0,0.0,0.0,0.0
ANG,Sailing,Mixed Dinghy,0.0,0.0,0.0,0.0
ANG,Sailing,Sailing Men's One Person Dinghy,0.0,0.0,0.0,0.6033472372984787
ANG,Sailing,Sailing Men's Two Person Dinghy,0.0,0.0,0.0,1.2066944745969574
ANG,Shooting,Shooting Men's Trap,0.0,0.0,0.0,0.0367788596481495
ANG,Swimming,Men's 100m Butterfly,0.0,0.0,0.0,0.0
ANG,Swimming,Men's 100m Freestyle,0.0,0.0,0.0,0.3126151488593153
ANG,Swimming,Swimming Men's 100 metres Butterfly,0.0,0.0,0.0,0.0525412280687851
ANG,Swimming,Swimming Men's 400 metres Individual Medley,0.0,0.0,0.0,0.1072269960587451
ANG,Swimming,Swimming Men's 50 metres Freestyle,0.0,0.0,0.0,0.0367788596481495
ANG,Swimming,Swimming Women's 100 metres Breaststroke,0.0,0.0,0.0,0.0
ANG,Swimming,Swimming Women's 100 metres Butterfly,0.0,0.0,0.0,0.0
ANG,Swimming,Swimming Women's 100 metres Freestyle,0.0,0.0,0.0,0.6033472372984787
ANG,Swimming,Swimming Women's 200 metres Breaststroke,0.0,0.0,0.0,0.0257452017537047
ANG,Swimming,Swimming Women's 50 metres Freestyle,0.0,0.0,0.0,0.1822858932998667
ANG,Swimming,Women's 100m Freestyle,0.0,0.0,0.0,0.0
ANG,Swimming,Women's 200m Butterfly,0.0,0.0,0.0,0.3126151488593153
ANT,Athletics,"Athletics Men's 1,500 metres",0.0,0.0,0.0,0.0
ANT,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.6558884653672638
ANT,Athletics,Athletics Men's 200 metres,0.0,0.0,0.0,0.0893200877169346
ANT,Athletics,Athletics Men's 4 x 100 metres Relay,0.0,0.0,0.0,0.6033472372984787
ANT,Athletics,Athletics Men's 4 x 400 metres Relay,0.0,0.0,0.0,0.0257452017537047
ANT,Athletics,Athletics Men's 400 metres,0.0,0.0,0.0,0.0
ANT,Athletics,Athletics Men's 800 metres,0.0,0.0,0.0,0.0
ANT,Athletics,Athletics Men's High Jump,0.0,0.0,0.0,0.0750588972411216
ANT,Athletics,Athletics Women's 100 metres,0.0,0.0,0.0,0.0750588972411216
ANT,Athletics,Athletics Women's 200 metres,0.0,0.0,0.0,0.0
ANT,Athletics,Athletics Women's 4 x 100 metres Relay,0.0,0.0,0.0,0.0257452017537047
ANT,Athletics,Athletics Women's 4 x 400 metres Relay,0.0,0.0,0.0,0.0257452017537047
ANT,Athletics,Athletics Women's 400 metres,0.0,0.0,0.0,0.1072269960587451
ANT,Athletics,Athletics Women's High Jump,0.0,0.0,0.0,0.6033472372984787
ANT,Athletics,Men's 100m,0.0,0.0,0.0,0.0
ANT,Athletics,Women's 100m,0.0,0.0,0.0,0.0
ANT,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",0.0,0.0,0.0,0.0257452017537047
ANT,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",0.0,0.0,0.0,0.0257452017537047
ANT,Cycling,"Cycling Men's 1,000 metres Time Trial",0.0,0.0,0.0,0.0
ANT,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",0.0,0.0,0.0,0.0
ANT,Cycling,"Cycling Men's Mountainbike, Cross-Country",0.0,0.0,0.0,0.0
ANT,Cycling,Cycling Men's Points Race,0.0,0.0,0.0,0.0
ANT,Cycling,"Cycling Men's Road Race, Individual",0.0,0.0,0.0,0.0
ANT,Sailing,Men's Kite,0.0,0.0,0.0,0.0
ANT,Sailing,Sailing Men's One Person Dinghy,0.0,0.0,0.0,0.0
ANT,Sailing,Sailing Men's Windsurfer,0.0,0.0,0.0,0.0
ANT,Sailing,Sailing Mixed One Person Dinghy,0.0,0.0,0.0,0.0
ANT,Sailing,Sailing Mixed Two Person Keelboat,0.0,0.0,0.0,0.0
ANT,Sailing,Sailing Women's One Person Dinghy,0.0,0.0,0.0,0.0
ANT,Sailing,Women's One Person Dinghy - Laser Radial,0.0,0.0,0.0,0.0
ARG,Athletics,"Athletics Men's 1,500 metres",0.0,0.0,0.0,0.0750588972411216
ARG,Athletics,"Athletics Men's 10,000 metres",0.0,0.0,0.0,0.0
ARG,Athletics,Athletics Men's 100 metres,0.0,0.0,0.0,0.0625240614018542
ARG,Athletics,Athletics Men's 20 kilometres Walk,0.0,0.0,0.0,0.0750588972411216
ARG,Athletics,Athletics Men's 200 metres,0.0,0.0,0.0,0.0257452017537047
ARG,Athletics,"Athletics Men's 3,000 metres Steeplechase",0.0,0.0,0.0,0.0
ARG,Athletics,Athletics Men's 400 metres,0.0,0.0,0.0,0.0367788596481495
ARG,Athletics,"Athletics Men's 5,000 metres",0.0,0.0,0.0,0.1072269960587451
ARG,Athletics,Athletics Men's 800 metres,0.0,0.0,0.0,0.0750588972411216
ARG,Athletics,Athletics Men's Decathlon,0.0,0.0,0.0,0.0525412280687851
ARG,Athletics,Athletics Men's Discus Throw,0.0,0.0,0.0,0.2080310950535714
ARG,Athletics,Athletics Men's Hammer Throw,0.0,0.0,0.0,0.0367788596481495
ARG,Athletics,Athletics Men's Javelin Throw,0.0,0.0,0.0,0.1822858932998667
ARG,Athletics,Athletics Men's Marathon,0.0,0.0,0.0,1.9797927693560355
ARG,Athletics,Athletics Men's Pole Vault,0.0,0.0,0.0,0.0750588972411216
ARG,Athletics,Athletics Men's Shot Put,0.0,0.0,0.0,0.0750588972411216
ARG,Athletics,"Athletics Women's 10,000 metres",0.0,0.0,0.0,0.0
ARG,Athletics,Athletics Women's 100 metres Hurdles,0.0,0.0,0.0,0.0367788596481495
