Name,NOC,Sport,Event,Gold,Silver,Bronze,NoMedal
Kelly Parker,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.014098035806700264
Lauren Sesselmann,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.014098035806700264
Marie-ve Nault,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.014098035806700264
Melissa Tancredi,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.006476037358552339
Rhian Wilkinson,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.006476037358552339
Robyn Gayle,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.006476037358552339
Sophie Schmidt,CAN,Football,Football Women's Football,0.0,0.0,0.0,0.006476037358552339
Alexandre Carne,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.023272839218299042
Alexandre Carne,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.013592410349876587
Andrs Bel,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.023946223844536263
David Biosca,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.023272839218299042
David Biosca,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.013592410349876587
Eduard Cutal,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.015108128006402793
Eduard Cutal,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.0031378653485328945
Francisco Juncosa,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.026695486768188104
Francisco Juncosa,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.02089431835371187
Jos Sala,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.023946223844536263
Juan Villa,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.026695486768188104
Juan Villa,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.02089431835371187
Manel Farre,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.023946223844536263
Marc Esteve,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.023946223844536263
Miguel Andrs,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.023946223844536263
Pablo Escud,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.0034773883322357113
Pablo Escud,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,3.375825017180854e-05
Pau Cadafalch,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.023946223844536263
Ramn Biosca,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.023272839218299042
Ramn Biosca,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.013592410349876587
Roc Isern,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.026695486768188104
Roc Isern,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.02089431835371187
Santiago Escude,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.023272839218299042
Santiago Escude,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.013592410349876587
Sergi Montserrat,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.026695486768188104
Sergi Montserrat,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.02089431835371187
Xavier Blanco,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.023946223844536263
Xavier Trenchs,ESP,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.023946223844536263
Asuna Tanaka,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.01390858767485911
Aya Miyama,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Aya Miyama,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.006373267346924764
Aya Sameshima,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.01390858767485911
Ayumi Kaihori,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.01390858767485911
Azusa Iwashimizu,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Azusa Iwashimizu,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.006373267346924764
Homare Sawa,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.0006340233148550023
Homare Sawa,JPN,Football,Football Women's Football,0.0,0.0,0.0,5.52354295892805e-07
Homare Sawa,JPN,Football,Football Women's Football,0.0,0.0,0.0,2.777115766499812e-15
Karina Maruyama,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.016075326417932766
Karina Maruyama,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.006967315942385905
Karina Maruyama,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.0005437483725164402
Kozue Ando,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.016075326417932766
Kozue Ando,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.006967315942385905
Kozue Ando,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.0005437483725164402
Kyoko Yano,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.016075326417932766
Kyoko Yano,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.006967315942385905
Kyoko Yano,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.0005437483725164402
Mana Iwabuchi,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.01390858767485911
Megumi Takase,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.01390858767485911
Miho Fukumoto,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Miho Fukumoto,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.006373267346924764
Mizuho Sakaguchi,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Mizuho Sakaguchi,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.006373267346924764
Nahomi Kawasumi,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.01390858767485911
Saki Kumagai,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.01390858767485911
Shinobu Ohno,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Shinobu Ohno,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.006373267346924764
Yukari Kinga,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Yukari Kinga,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.006373267346924764
Yuki Nagasato-ogimi,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Yuki Nagasato-ogimi,JPN,Football,Football Women's Football,0.0,0.0,0.0,0.006373267346924764
Baek Seong-dong,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.014098035806700264
Gi Seong-yong,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.016075326417932766
Gi Seong-yong,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.006476037358552339
Gu Ja-cheol,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.014098035806700264
Hwang Seok-ho,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.014098035806700264
Jeong Seong-ryong,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.016075326417932766
Jeong Seong-ryong,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.006476037358552339
Jeong U-yeong,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.014098035806700264
Ji Dong-won,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.014098035806700264
Kim Bo-gyeong,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.014098035806700264
Kim Chang-su,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.014098035806700264
Kim Gi-hui,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.014098035806700264
Kim Hyeon-seong,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.014098035806700264
Kim Yeong-gwon,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.014098035806700264
Lee Beom-yeong,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.014098035806700264
Nam Tae-hui,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.014098035806700264
O Jae-seok,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.014098035806700264
Park Jong-wu,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.014098035806700264
Park Ju-yeong,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.016075326417932766
Park Ju-yeong,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.006476037358552339
Yun Seok-yeong,KOR,Football,Football Men's Football,0.0,0.0,0.0,0.014098035806700264
Choe Mi-gyong,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
Choe Un-ju,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
Choe Yong-sim,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
Jo Yun-mi,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
Jon Myong-hwa,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
Kim Chung-sim,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
Kim Myong-gum,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
Kim Nam-hui,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
Kim Song-hui,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
Kim Su-gyong,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
Kim Un-hyang,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
O Chang-ran,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
O Hui-sun,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
Pong Son-hwa,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
Ri Ye-gyong,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
Ro Chol-ok,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
Yun Hyon-hui,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
Yun Song-mi,PRK,Football,Football Women's Football,0.0,0.0,0.0,0.014289179038162458
Abdelaziz Al-mazam,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Abdulaziz Al-balooshi,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Ahmed Al-abri,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Ahmed Al-junaibi,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Ali Al-hajeri,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Ali Housani,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Amer Al-hammadi,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Habib Al-fardan,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Hamdan Al-kamali,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Ismaeil Al-jneibi,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Ismail Al-hammadi,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Khalid Saeed,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Khamis Zayed,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Mohamed Al-jawhar,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Mohamed Juma,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Omar Al-amoudi,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Rashed Al-falasi,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Saad Beniyas,UAE,Football,Football Men's Football,0.0,0.0,0.0,0.014289179038162458
Adrienne Mihamle,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Annette Ndom,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Ariane Beyene,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Augustine Siliki,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Bibi Medoua,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Christine Manie,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Claudine Tcheno,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Francine Edoa,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Franoise Bella,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Gabrielle Ongun,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Gaelle Enganamouit,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Jeannette Yango,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Madeleine Mani,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Njoya Nchout,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Raissa Tchuanyo,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Ysis Sonkeng,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Yvonne Chibosso,CMR,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Ana Prophater,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Carmen Rodallega,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Daniela Quiroz,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Hazleydi Torres,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Ingrid Isaza,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Katherine Pea,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Kelis Vargas,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Lady Rodrguez,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Liana Vergara,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Mara Pineda,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Melissa Matallana,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Natalia Daz,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Natalia Laguado,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Orinica Herrera,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Sandra Lopera,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Tatiana Daz,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Yulieth Ochoa,COL,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Adrin Lvarez,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Alberto Rabasco,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Ander Agera,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Cristian Herrera,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Csar Tanco,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
David Quintana,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Francisco Surez,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Iigo Berridi,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Iker Goi,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Javier Aguinaga,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Jordi Ramos,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Jorge Merodio,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Juan Garca,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Martn Torralbo,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Oriol Vidal,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Rodrigo Machado,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
lvaro Soto,ESP,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Camille Abily,FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Camille Catala,FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Corine (petit-),FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Eugnie Sommer,FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Gatane Thiney,FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Laura Georges,FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Laure Boulleau,FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Louisa Ncib-cadamuro,FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Marie-Laure Delie,FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Ophlie Meilleroux,FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Sabrina Viguier,FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Sandrine Soubeyrand,FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Sarah Bouhaddi,FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Sonia Bompastor,FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Wendie Renard,FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
lise Bussaglia,FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
lodie Thomis,FRA,Football,Football Women's Football,0.0,0.0,0.0,0.01512971898158378
Aaron Ramsey,GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Craig Bellamy,GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Craig Dawson,GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Daniel Rose,GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Daniel Sturridge,GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Jack Butland,GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Jack Cork,GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
James Tomkins,GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Joseph Allen,GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Marvin Sordell,GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Micah Richards,GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Neil Taylor,GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Ryan (wilson-),GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Ryan Bertrand,GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Scott Sinclair,GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Steven Caulker,GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Thomas Cleverley,GBR,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Daisuke Suzuki,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Gotoku Sakai,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Hiroki Sakai,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Hiroshi Kiyotake,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Hotaru Yamaguchi,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Kazuya Yamamura,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Keigo Higashi,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Kensuke Nagai,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Kenyu Sugimoto,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Manabu Saito,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Maya Yoshida,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.006967315942385905
Shuichi Gonda,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Taisuke Muramatsu,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Takahiro Ohgihara,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Takashi Usami,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Yuhei Tokunaga,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.0005967278257458845
Yuki Otsu,JPN,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Alexander Baart,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.025125164017118215
Billy Bakker,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.025125164017118215
Bob Voogd,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.025125164017118215
Floris Evers,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.026695486768188104
Floris Evers,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.014219414594261452
Jacob Stockmann,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.025125164017118215
Klaas Vermeulen,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.025125164017118215
Marcel Balkestein,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.025125164017118215
Mink Weerden,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.025125164017118215
Robbert Kemperman,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.025125164017118215
Robert Horst,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.026939501825103296
Robert Horst,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.021903848676046157
Roderick Weusthof,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.026939501825103296
Roderick Weusthof,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.021903848676046157
Rogier Hofman,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.025125164017118215
Sander Wijn,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.025125164017118215
Teun Nooijer,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.003530098517099506
Teun Nooijer,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,3.517920576095578e-05
Tim Jenniskens,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.025125164017118215
Valentin Verga,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.025125164017118215
Wouter Jolie,NED,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.025125164017118215
Adam Mcgeorge,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Adam Thomas,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Alex Feneridis,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Cameron Howieson,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Christopher Wood,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Dakota Lucas,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Ian Hogg,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.006967315942385905
James Musa,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Kosta Barbarouses,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Marco Rojas,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Michael Mcglinchey,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Michael O'keeffe,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Ryan Nelsen,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.006967315942385905
Shane Smeltz,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Thomas Smith,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Timothy Myers,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Timothy Payne,NZL,Football,Football Men's Football,0.0,0.0,0.0,0.01512971898158378
Andrew Cronje,RSA,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.026939501825103296
Andrew Cronje,RSA,Hockey,Hockey Men's Hockey,0.0,0.0,0.0,0.022123395903930216
