NOC,Sport,Event,Division,1992,1996,2000,2004,2008,2012,2016,2020,2024
ALG,Boxing,Boxing Men's Light-Middleweight,1,0.0,0.0,0.0,,,,,,
ALG,Boxing,Boxing Men's Light-Welterweight,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,
ALG,Boxing,Boxing Men's Lightweight,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,
ALG,Boxing,Boxing Men's Middleweight,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,
ALG,Boxing,Boxing Men's Super-Heavyweight,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
ALG,Boxing,Boxing Men's Welterweight,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,
ALG,Boxing,Men's +92kg,1,,,,,,,,,0.0
ALG,Boxing,Men's 63.5kg,1,,,,,,,,,0.0
ALG,Boxing,Men's Fly (48-52kg),1,,,,,,,,0.0,
ALG,Boxing,Men's Heavy (81-91kg),1,,,,,,,,0.0,
ALG,Boxing,Men's Light Heavy (75-81kg),1,,,,,,,,0.0,
ALG,Boxing,Men's Middle (69-75kg),1,,,,,,,,0.0,
ALG,Boxing,Men's Super Heavy (+91kg),1,,,,,,,,0.0,
ALG,Boxing,Women's 50kg,1,,,,,,,,,0.0
ALG,Boxing,Women's 60kg,1,,,,,,,,,0.0
ALG,Boxing,Women's 66kg,1,,,,,,,,,0.0
ALG,Boxing,Women's Fly (48-51kg),1,,,,,,,,0.0,
ALG,Boxing,Women's Light (57-60kg),1,,,,,,,,0.0,
ALG,Boxing,Women's Middle (69-75kg),1,,,,,,,,0.0,
ALG,Canoeing,Women's Kayak Cross,1,,,,,,,,,0.0
ALG,Canoeing,Women's Kayak Single,1,,,,,,,,,0.0
ALG,Canoeing,Women's Kayak Single 200m,1,,,,,,,,0.0,
ALG,Canoeing,Women's Kayak Single 500m,1,,,,,,,,0.0,0.0
ALG,Cycling,"Cycling Men's Road Race, Individual",1,0.0,0.0,0.0,0.0,1.0,1.0,2.0,,
ALG,Cycling Road,Men's Individual Time Trial,1,,,,,,,,0.0,0.0
ALG,Cycling Road,Men's Road Race,1,,,,,,,,0.0,1.0
ALG,Cycling Road,Women's Road Race,1,,,,,,,,0.0,1.0
ALG,Fencing,"Fencing Men's Foil, Individual",1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,
ALG,Fencing,"Fencing Men's Sabre, Individual",1,0.0,1.0,0.0,2.0,0.0,0.0,0.0,,
ALG,Fencing,"Fencing Men's Sabre, Team",3,0.0,0.0,0.0,3.0,0.0,0.0,,,
ALG,Fencing,"Fencing Men's epee, Individual",1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ALG,Fencing,"Fencing Women's Foil, Individual",1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,
ALG,Fencing,"Fencing Women's Sabre, Individual",1,,,,0.0,0.0,1.0,0.0,,
ALG,Fencing,"Fencing Women's epee, Individual",1,,0.0,1.0,0.0,1.0,0.0,0.0,,
ALG,Fencing,Men's Foil Individual,1,,,,,,,,0.0,0.0
ALG,Fencing,Men's Sabre Individual,1,,,,,,,,0.0,0.0
ALG,Fencing,Women's Foil Individual,1,,,,,,,,0.0,0.0
ALG,Fencing,Women's Sabre Individual,1,,,,,,,,0.0,3.0
ALG,Fencing,Women's Sabre Team,4,,,,,,,,0.0,4.0
ALG,Football,Football Men's Football,18,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,
ALG,Gymnastics,Gymnastics Men's Floor Exercise,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Gymnastics,Gymnastics Men's Horizontal Bar,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Gymnastics,Gymnastics Men's Individual,1,,,0.0,0.0,0.0,0.0,0.0,,
ALG,Gymnastics,Gymnastics Men's Individual All-Around,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Gymnastics,Gymnastics Men's Parallel Bars,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Gymnastics,Gymnastics Men's Pommelled Horse,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Gymnastics,Gymnastics Men's Rings,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Gymnastics,Gymnastics Women's Balance Beam,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Gymnastics,Gymnastics Women's Floor Exercise,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Gymnastics,Gymnastics Women's Individual All-Around,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Gymnastics,Gymnastics Women's Uneven Bars,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Gymnastics,Women,1,,,,,,,,0.0,1.0
ALG,Gymnastics,Women's All-Around,1,,,,,,,,0.0,1.0
ALG,Gymnastics,Women's Balance Beam,1,,,,,,,,0.0,1.0
ALG,Gymnastics,Women's Floor Exercise,1,,,,,,,,0.0,1.0
ALG,Gymnastics,Women's Uneven Bars,1,,,,,,,,0.0,1.0
ALG,Gymnastics,Women's Vault,1,,,,,,,,0.0,1.0
ALG,Handball,Handball Men's Handball,16,0.0,16.0,0.0,0.0,0.0,0.0,0.0,,
ALG,Judo,Judo Men's Extra-Lightweight,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,
ALG,Judo,Judo Men's Half-Heavyweight,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,
ALG,Judo,Judo Men's Half-Lightweight,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,
ALG,Judo,Judo Men's Half-Middleweight,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,
ALG,Judo,Judo Men's Heavyweight,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,
ALG,Judo,Judo Men's Lightweight,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,
ALG,Judo,Judo Men's Middleweight,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,
ALG,Judo,Judo Women's Extra-Lightweight,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,
ALG,Judo,Judo Women's Half-Lightweight,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,
ALG,Judo,Judo Women's Half-Middleweight,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
ALG,Judo,Judo Women's Heavyweight,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
ALG,Judo,Judo Women's Lightweight,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ALG,Judo,Judo Women's Middleweight,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ALG,Judo,Men +100 kg,1,,,,,,,,0.0,1.0
ALG,Judo,Men -73 kg,1,,,,,,,,0.0,1.0
ALG,Judo,Women +78 kg,1,,,,,,,,0.0,0.0
ALG,Judo,Women -63 kg,1,,,,,,,,0.0,1.0
ALG,Karate,Women's Kumite +61kg,1,,,,,,,,0.0,
ALG,Marathon Swimming,Women's 10km,1,,,,,,,,0.0,0.0
ALG,Rowing,Lightweight Men's Double Sculls Team,2,,,,,,,,0.0,
ALG,Rowing,Men's Single Sculls,1,,,,,,,,0.0,1.0
ALG,Rowing,Rowing Men's Lightweight Double Sculls,2,,0.0,0.0,0.0,2.0,0.0,0.0,,
ALG,Rowing,Rowing Men's Single Sculls,1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,
ALG,Rowing,Rowing Women's Single Sculls,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
ALG,Rowing,Women's Single Sculls,1,,,,,,,,0.0,1.0
ALG,Sailing,Men's Windsurfer - RS:X,1,,,,,,,,0.0,
ALG,Sailing,Men's Windsurfing,1,,,,,,,,,0.0
ALG,Sailing,Sailing Men's Windsurfer,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Sailing,Sailing Women's One Person Dinghy,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Sailing,Sailing Women's Windsurfer,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Sailing,Women's Windsurfer - RS:X,1,,,,,,,,0.0,
ALG,Shooting,10m Air Pistol Men,1,,,,,,,,0.0,1.0
ALG,Shooting,10m Air Rifle Men,1,,,,,,,,0.0,1.0
ALG,Shooting,10m Air Rifle Women,1,,,,,,,,0.0,0.0
ALG,Shooting,"Shooting Men's Air Pistol, 10 metres",1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
ALG,Shooting,"Shooting Men's Air Rifle, 10 metres",1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Swimming,Men's 100m Freestyle,1,,,,,,,,0.0,0.0
ALG,Swimming,Men's 200m Individual Medley,1,,,,,,,,0.0,1.0
ALG,Swimming,Men's 50m Freestyle,1,,,,,,,,0.0,0.0
ALG,Swimming,Swimming Men's 100 metres Backstroke,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
ALG,Swimming,Swimming Men's 100 metres Breaststroke,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ALG,Swimming,Swimming Men's 100 metres Butterfly,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
ALG,Swimming,Swimming Men's 100 metres Freestyle,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,
ALG,Swimming,Swimming Men's 200 metres Breaststroke,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ALG,Swimming,Swimming Men's 200 metres Butterfly,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ALG,Swimming,Swimming Men's 200 metres Freestyle,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,
ALG,Swimming,Swimming Men's 200 metres Individual Medley,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,
ALG,Swimming,Swimming Men's 400 metres Freestyle,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ALG,Swimming,Swimming Men's 50 metres Freestyle,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Swimming,Swimming Women's 400 metres Individual Medley,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ALG,Swimming,Women's 100m Freestyle,1,,,,,,,,0.0,1.0
ALG,Swimming,Women's 50m Freestyle,1,,,,,,,,0.0,0.0
ALG,Table Tennis,Men's Singles,1,,,,,,,,0.0,1.0
ALG,Table Tennis,Table Tennis Men's Doubles,2,0.0,0.0,2.0,2.0,,,,,
ALG,Table Tennis,Table Tennis Men's Singles,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,
ALG,Table Tennis,Table Tennis Women's Doubles,2,0.0,0.0,0.0,2.0,,,,,
ALG,Table Tennis,Table Tennis Women's Singles,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,
ALG,Table Tennis,Women's Singles,1,,,,,,,,0.0,1.0
ALG,Taekwondo,Taekwondo Men's Flyweight,1,,,0.0,0.0,0.0,1.0,0.0,,
ALG,Tennis,Tennis Men's Singles,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ALG,Volleyball,Volleyball Men's Volleyball,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ALG,Volleyball,Volleyball Women's Volleyball,10,0.0,0.0,0.0,0.0,10.0,0.0,0.0,,
ALG,Volleyball,Volleyball Women's Volleyball,11,0.0,0.0,0.0,0.0,0.0,11.0,0.0,,
ALG,Weightlifting,Men's +102kg,1,,,,,,,,,0.0
ALG,Weightlifting,Men's +109kg,1,,,,,,,,0.0,
ALG,Weightlifting,Weightlifting Men's Bantamweight,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
ALG,Weightlifting,Weightlifting Men's Featherweight,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
ALG,Weightlifting,Weightlifting Men's Heavyweight,1,,,0.0,0.0,0.0,1.0,0.0,,
ALG,Weightlifting,Weightlifting Men's Lightweight,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ALG,Weightlifting,Weightlifting Men's Super-Heavyweight,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
ALG,Weightlifting,Weightlifting Women's Lightweight,1,,,0.0,0.0,0.0,0.0,0.0,,
ALG,Weightlifting,Weightlifting Women's Middleweight,1,,,0.0,1.0,0.0,0.0,0.0,,
ALG,Weightlifting,Weightlifting Women's Super-Heavyweight,1,,,0.0,0.0,0.0,0.0,1.0,,
ALG,Wrestling,Men's Freestyle 125kg,1,,,,,,,,0.0,0.0
ALG,Wrestling,Men's Freestyle 57kg,1,,,,,,,,0.0,0.0
ALG,Wrestling,Men's Freestyle 86kg,1,,,,,,,,0.0,0.0
ALG,Wrestling,Men's Freestyle 97kg,1,,,,,,,,0.0,0.0
